编号,中文名称,英文名称,x,y
1,北京市,Beijing,158.0,75.0
2,天津市,Tianjin,174.0,55.0
3,上海市,Shanghai,243.0,-68.0
4,重庆市,Chongqing,45.0,-101.0
5,河北省,Hebei,140.0,37.0
6,山西省,Shanxi,103.0,28.0
7,辽宁省,Liaoning,218.0,100.0
8,吉林省,Jilin,253.0,146.0
9,黑龙江省,Heilongjiang,265.0,208.0
10,江苏省,Jiangsu,211.0,-38.0
11,浙江省,Zhejiang,228.0,-103.0
12,安徽省,Anhui,183.0,-58.0
13,福建省,Fujian,206.0,-155.0
14,江西省,Jiangxi,166.0,-128.0
15,山东省,Shandong,184.0,10.0
16,河南省,Henan,131.0,-35.0
17,湖北省,Hubei,114.0,-75.0
18,湖南省,Hunan,105.0,-133.0
19,广东省,Guangdong,145.0,-196.0
20,海南省,Hainan,88.0,-275.0
21,四川省,Sichuan,-11.0,-88.0
22,贵州省,Guizhou,52.0,-150.0
23,云南省,Yunnan,-37.0,-195.0
24,陕西省,Shaanxi,81.0,4.0
25,甘肃省,Gansu,-87.0,72.0
26,青海省,Qinghai,-94.0,-5.0
27,台湾省,Taiwan,254.0,-178.0
28,内蒙古自治区,Inner Mongolia,114.0,116.0
29,广西壮族自治区,Guangxi,70.0,-197.0
30,西藏自治区,Tibet,-220.0,-53.0
31,宁夏回族自治区,Ningxia,35.0,54.0
32,新疆维吾尔自治区,Xinjiang,-236.0,90.0
33,香港特别行政区,Hong Kong,153.0,-222.0
34,澳门特别行政区,Macau,140.0,-230.0
