都道府県,日本語名,英語名,x,y
1,北海道,Hokkaido,-227,279
2,青森県,Aomori,330,364
3,岩手県,Iwate,361,275
4,宮城県,Miyagi,338,196
5,秋田県,Akita,300,299
6,山形県,Yamagata,288,200
7,福島県,Fukushima,304,111
8,茨城県,Ibaraki,305,23
9,栃木県,Tochigi,265,54
10,群馬県,Gunma,216,42
11,埼玉県,Saitama,240,9
12,千葉県,Chiba,296,-21
13,東京都,Tokyo,246,-16
14,神奈川県,Kanagawa,237,-37
15,新潟県,Niigata,224,123
16,富山県,Toyama,115,52
17,石川県,Ishikawa,73,38
18,福井県,Fukui,56,-0
19,山梨県,Yamanashi,196,-21
20,長野県,Nagano,162,19
21,岐阜県,Gifu,99,-20
22,静岡県,Shizuoka,159,-61
23,愛知県,Aichi,117,-65
24,三重県,Mie,59,-92
25,滋賀県,Shiga,43,-64
26,京都府,Kyoto,9,-57
27,大阪府,Osaka,6,-104
28,兵庫県,Hyogo,-33,-69
29,奈良県,Nara,27,-127
30,和歌山県,Wakayama,4,-155
31,鳥取県,Tottori,-96,-39
32,島根県,Shimane,-178,-60
33,岡山県,Okayama,-94,-72
34,広島県,Hiroshima,-158,-99
35,山口県,Yamaguchi,-245,-128
36,徳島県,Tokushima,-72,-147
37,香川県,Kagawa,-86,-121
38,愛媛県,Ehime,-155,-156
39,高知県,Kochi,-114,-165
40,福岡県,Fukuoka,-282,-171
41,佐賀県,Saga,-323,-191
42,長崎県,Nagasaki,-364,-233
43,熊本県,Kumamoto,-268,-224
44,大分県,Oita,-250,-192
45,宮崎県,Miyazaki,-257,-286
46,鹿児島県,Kagoshima,-311,-347
47,沖縄県,Okinawa,257,-288
